tweet_id,tweet_text
847691313344421889,RT @ManikLalabuci: @ainkhadir @haaziq_mz sebab tu sunat fokus pada satu spot semasa solat. Supaya rukuk dan sujud mata focus in and out unt…
847703420475658240,@embah72 bukan lapar.....saking bodohnya itu...makanya gagal alias di pecat.
847703424640483330,RT @maspiyuuu: Pimpinan Aksi 313 Ditangkap atas Tuduhan Makar; Katanya Demokratis.... https://t.co/VOs0j0ddmW https://t.co/ooqdarru0j
847691144318173184,Thanks @Samsung_ID buat Kenny Rogers nya! Baru aja dapat di #SamsungGiftId https://t.co/8XR2m1eBmb #EverydayGifts
847703458211745794,Dulu kalo marahan pasti guenya yang bawel. Sekarang kok jadi diem gini yaㅡ
847691328053956608,"@KalamSenja <<< @LintangChrezL @gunawanahokers @ninjutx @1005Putra @Grand_Light88 maaf ya. Om hanya tahu bahasa binatang. Uda dulu ye"
847703487546707974,"RT @BundaAditya12: @DA3_Rafly Buruan atu de ke jkt mah,, bunda udh kangen bngt tauuuuu 😁😁😁"
847703491778723840,Manyak ka leche
847703504332312576,HyoBora again for Munsoo Kwon please...:))
847691172831154177,Allahu https://t.co/wQs66bymh2
847691351957295105,@nisakhamrin baru lpas exam kan.
847691356969476096,Win a Samsung Galaxy S8! https://t.co/OtLSaleHeN
847691180397674496,"RT @GunRomli: Ini Gatot Saptono alias M Al-Khotot, Alsi 313 & kaitannya dgn Anies-Sandi https://t.co/0khjLb2opn"
847691361176363008,@MFMiraFilzah Haiii awakkk  Selamat petang dan slmt berehat 😘😘😍😍💜🍓🌹🍇🍑🌷🌸
847691185833467905,@daniasofiya Aku rasa cam kurang 😭
847691187112693760,@MhdAmierul Mmmm... yela aku ingatkan dah keluar march. Huhu. Sorryla. Sekarang ni jarang tengok tv mahupun trailer wayang 🤧
847691187532161026,"RT @ikayunuss: ""Orang puang ni memang manja. Sume mereka nak suap. Orang laki ni kena paham. Manja orang puang bukan menyusahkan."""
847691187968397312,Ya allah susah amat lah nyarik materi idang speaking ne
847691370814775297,"Mengambil gelas tersebut, lalu meminumnya.   ""I-ini apa?"" https://t.co/UeCWhNl46t"
847691374186995712,Telkomsel: veryinjected Terima kasih telah berpartisipasi. Buat tweet baru sebanyak-banyaknya agar kesempatan menang lebih besar :) -Agan
847691376707780613,So far khutbah tanpa teks dengan suara khatib lantang bergegar masjid paling best. Terus rasa nak pergi berjihad.
847691385087991808,Wooyoung 💕 https://t.co/ygcjyP896x
847691206003793921,"RT @BKIPMMakassar: 31/03 #KerjaGembira Pengawasan ekspor 8  box kepiting hidup tujuan Malaysia melalui bandara SHIAM @HumasBKIPM @rinajanwa…"
847691393040384000,@Snatasyachh follback qa thx
847691400187568129,"RT @NajibRazak: Berbual dgn Mohd Azrin, pegawai kedutaan Msia di Korea Utr yg slmt tiba di Msia pg tadi brsama 8 yg lain. Alhamdulillah sem…"
847691401877889026,"Jodoh ,awak pergi sembahyang jumaat tak tadi ?"
847691218578427905,Asal Kau Bahagia by Armada — https://t.co/VMs9B3ojjK
847691403958276097,CEO Sheikhupura ne district Skp ma tmam arzi transfer(duties) Khatam kr k teachers Ko 1st April se apny schools ma Hazir Hony k order Kiy h.
847691218557456386,"RT @jxnsomi: ketauan jombss ⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇ https://t.co/mtwrKQFKrk"
847691220230979584,Merajuk 2 hari
847703550499012608,"no in anyone's side. neutral eceh. tapi tu lah saja nak kabo, jangan seronok sgt mengata org. dunia ni berputar, bro"
847691223594811393,RT @awdks: @parkcyeah ini park dobi banget doyan selfie -3- https://t.co/cZWPxT4fWf
847704250935238656,360.. Kamu berapa?? Tulis do kolom komentar.. 😉😁😂😄😅 https://t.co/rSTl82eFA4
847691897615167488,"(((Sari Ratu)))  😂😂 https://t.co/PAEF6d4dr4"
847691899301355520,"RT @501Awatni: #AWATNINews Manis berbusana gaya Beauty, selebriti pertahan tindakan bergambar dengan watak Maleficent disangka 'kerbau gemu…"
847691696309551104,@Fahizrulnizah muka bercahaya
847691900152758272,Genuine Battery for HP Envy XT 13-2000EG 13-2021TU 13-2120TU HSTNN-IB3V HD04XL https://t.co/CSqVn1l7lE https://t.co/OXBRNiJK7I
847691905156628480,Kejaksaan Selidiki Kasus Jembatan Ambles di Bekasi https://t.co/i9wy4lND6J https://t.co/XUPRToParI
847691703448330240,"Cegah Peredaran Narkoba di Kalangan Pelajar, Kejaksaan Datang ke Sekolah-sekolah: Ke depan kejaksaan…... https://t.co/N9dSvKcsAC"
847691911473147904,wadapak bes why?
847691709299343362,Rasa2.!!Zaman sekarang Keihlasan org tak amek kira dh.Yang Penting… https://t.co/C0cdPDinMz
847691913146671104,"@sm_abdrahim dari - tempat, masa daripada - all else Did I get it right?"
847691913566208000,@greenarchi92 besepah kt upm
847691914824384512,Whahahaahaa bisa jadi https://t.co/Q0sCJphUIi
847691915243827200,"RT @andiariefaa: Makar itu definisinya adalah tindakan insubordinasi dari dalam negara, bukan oleh rakyat."
847691724000378881,RT @PLAYMFS: #pltl on rt/rep? janji jfb ya @Kimhytae https://t.co/HsSCsbwIli
847691931601707010,ANJIR INI TAEGUK LINE KENAPA MEMEABLE SEKALI SIH 😂😂😂 https://t.co/VnJ0yFSgqj
847691933279563776,"Hubungan pelayan warga dengan warganya, dalam membersihkan kali di Jakarta. #Jalan2JKT #313KerjaAje @addiems… https://t.co/gtcA4VC9fD"
847691728593211393,https://t.co/sQHy1Jpnzx ←← #sange #ngentot #bokep #bugilhottelanjang #tante #ml Film Semi Di Youtube Kuis Berhadiah Sepeda Jokowi di Faceb…
847691937456955393,RT @elfizal: Ust Al Khattaq dan 4 lainnya ditangkap dan diamankan di mako brimob! Apa sebenarnya? Kok pula selalu berulang?? https://t.co/p…
847704397710741504,"RT @PLAYMFS: #pltl followan kuy sama golden maknae bts, new owner dia mah @daegumdae rep jangan di rt"
